,0
1205,1
1206,9
1207,7
1208,9
1209,4
1210,8
1211,8
1212,9
1213,8
1214,1
1215,9
1216,3
1217,0
1218,6
1219,3
1220,7
1221,3
1222,0
1223,9
1224,9
1225,9
1226,6
1227,4
1228,1
1229,1
1230,2
1231,0
1232,3
1233,3
1234,3
1235,7
1236,1
1237,5
1238,5
1239,8
1240,0
1241,8
1242,2
1243,2
1244,3
1245,9
1246,9
1247,7
1248,1
1249,1
1250,2
1251,2
1252,9
1253,6
1254,7
1255,4
1256,4
1257,2
1258,8
1259,3
1260,5
1261,6
1262,1
1263,6
1264,4
1265,5
1266,7
1267,0
1268,1
1269,0
1270,5
1271,2
1272,1
1273,8
1274,7
1275,1
1276,9
1277,6
1278,1
1279,1
1280,9
1281,0
1282,6
1283,4
1284,3
1285,3
1286,2
1287,1
1288,8
1289,6
1290,7
1291,1
1292,1
1293,9
1294,7
1295,0
1296,3
1297,1
1298,2
1299,2
1300,9
1301,3
1302,8
1303,4
1304,0
1305,5
1306,2
1307,6
1308,1
1309,7
1310,5
1311,8
1312,1
1313,9
1314,4
1315,0
1316,6
1317,1
1318,0
1319,2
1320,0
1321,3
1322,8
1323,4
1324,5
1325,5
1326,1
1327,6
1328,7
1329,7
1330,0
1331,8
1332,7
1333,9
1334,7
1335,0
1336,6
1337,1
1338,5
1339,2
1340,0
1341,3
1342,1
1343,4
1344,2
1345,5
1346,2
1347,6
1348,6
1349,7
1350,7
1351,8
1352,1
1353,9
1354,0
1355,8
1356,5
1357,6
1358,1
1359,5
1360,1
1361,0
1362,1
1363,6
1364,2
1365,8
1366,9
1367,9
1368,9
1369,4
1370,7
1371,1
1372,7
1373,9
1374,8
1375,5
1376,9
1377,3
1378,4
1379,0
1380,2
1381,4
1382,8
1383,8
1384,2
1385,9
1386,6
1387,1
1388,9
1389,4
1390,6
1391,0
1392,3
1393,5
1394,2
1395,1
1396,5
1397,5
1398,8
1399,7
1400,7
1401,6
1402,5
1403,0
1404,1
1405,1
1406,8
1407,7
1408,4
1409,0
1410,5
1411,6
1412,1
1413,8
1414,4
1415,9
1416,9
1417,5
1418,1
1419,4
1420,2
1421,7
1422,0
1423,9
1424,4
1425,8
1426,7
1427,6
1428,0
1429,0
1430,7
1431,8
1432,1
1433,1
1434,4
1435,7
1436,2
1437,7
1438,2
1439,1
1440,1
1441,3
1442,9
1443,2
1444,8
1445,1
1446,2
1447,4
1448,6
1449,2
1450,8
1451,0
1452,9
1453,0
1454,3
1455,7
1456,5
1457,8
1458,2
1459,4
1460,4
1461,6
1462,0
1463,4
1464,9
1465,9
1466,6
1467,3
1468,4
1469,8
1470,5
1471,4
1472,5
1473,7
1474,9
1475,2
1476,3
1477,5
1478,8
1479,6
1480,3
1481,3
1482,8
1483,6
1484,5
1485,9
1486,5
1487,6
1488,7
1489,3
1490,6
1491,2
1492,5
1493,2
1494,4
1495,4
1496,4
1497,6
1498,7
1499,9
1500,5
1501,0
1502,1
1503,2
1504,1
1505,5
1506,8
1507,5
1508,1
1509,1
1510,7
1511,3
1512,4
1513,3
1514,0
1515,9
1516,7
1517,7
1518,1
1519,2
1520,3
1521,2
1522,1
1523,5
1524,3
1525,7
1526,0
1527,9
1528,7
1529,8
1530,6
1531,2
1532,0
1533,1
1534,7
1535,3
1536,9
1537,1
1538,9
1539,3
1540,7
1541,0
1542,5
1543,1
1544,3
1545,3
1546,8
1547,4
1548,7
1549,5
1550,9
1551,6
1552,2
1553,7
1554,3
1555,8
1556,3
1557,9
1558,1
1559,0
1560,2
1561,1
1562,0
1563,2
1564,7
1565,3
1566,7
1567,4
1568,8
1569,5
1570,3
1571,6
1572,5
1573,7
1574,0
1575,8
1576,2
1577,0
1578,4
1579,1
1580,9
1581,2
1582,9
1583,3
1584,0
1585,4
1586,8
1587,5
1588,0
1589,6
1590,5
1591,7
1592,6
1593,9
1594,7
1595,7
1596,5
1597,0
1598,4
1599,5
1600,2
1601,2
1602,8
1603,9
1604,1
1605,0
1606,1
1607,1
1608,1
1609,5
1610,6
1611,8
1612,0
1613,8
1614,8
1615,0
1616,7
1617,9
1618,3
1619,3
1620,0
1621,2
1622,1
1623,7
1624,4
1625,8
1626,9
1627,4
1628,9
1629,4
1630,1
1631,5
1632,2
1633,9
1634,1
1635,6
1636,0
1637,1
1638,5
1639,0
1640,7
1641,4
1642,7
1643,5
1644,5
1645,3
1646,4
1647,9
1648,2
1649,4
1650,7
1651,3
1652,4
1653,4
1654,0
1655,2
1656,5
1657,0
1658,4
1659,5
1660,7
1661,0
1662,8
1663,1
1664,7
1665,3
1666,1
1667,2
1668,9
1669,9
1670,4
1671,1
1672,8
1673,6
1674,5
1675,0
1676,1
1677,1
1678,6
1679,1
1680,6
1681,8
1682,9
1683,0
1684,6
1685,4
1686,7
1687,7
1688,9
1689,7
1690,4
1691,6
1692,4
1693,3
1694,0
1695,5
1696,5
1697,6
1698,9
1699,6
1700,2
1701,0
1702,1
1703,7
1704,8
1705,3
1706,5
1707,5
1708,3
1709,4
1710,3
1711,2
1712,0
1713,4
1714,3
1715,1
1716,7
1717,8
1718,2
1719,3
1720,8
1721,5
1722,8
1723,6
1724,8
1725,5
1726,8
1727,2
1728,1
1729,0
1730,6
1731,6
1732,9
1733,7
1734,8
1735,1
1736,7
1737,2
1738,2
1739,5
1740,4
1741,8
1742,0
1743,1
1744,4
1745,9
1746,0
1747,3
1748,2
1749,8
1750,8
1751,8
1752,3
1753,8
1754,0
1755,3
1756,3
1757,7
1758,0
1759,6
1760,1
1761,8
1762,9
1763,7
1764,4
1765,1
1766,7
1767,4
1768,7
1769,6
1770,4
1771,7
1772,2
1773,9
1774,2
1775,9
1776,5
1777,3
1778,7
1779,0
1780,0
1781,3
1782,5
1783,4
1784,6
1785,5
1786,7
1787,6
1788,3
1789,7
1790,5
1791,0
1792,0
1793,1
1794,0
1795,2
1796,8
1797,3
1798,7
1799,4
1800,6
1801,5
1802,5
1803,6
1804,3
1805,7
1806,5
1807,0
1808,8
1809,1
1810,7
1811,2
1812,2
1813,3
1814,9
1815,4
1816,9
1817,5
1818,4
1819,6
1820,9
1821,7
1822,7
1823,8
1824,4
1825,9
1826,2
1827,8
1828,6
1829,7
1830,9
1831,7
1832,6
1833,0
1834,0
1835,1
1836,8
1837,3
1838,7
1839,5
1840,9
1841,2
1842,5
1843,8
1844,2
1845,0
1846,0
1847,9
1848,0
1849,6
1850,5
1851,0
1852,4
1853,9
1854,7
1855,1
1856,2
1857,1
1858,8
1859,8
1860,0
1861,4
1862,9
1863,3
1864,5
1865,2
1866,6
1867,1
1868,1
1869,2
1870,6
1871,6
1872,8
1873,5
1874,3
1875,6
1876,5
1877,7
1878,6
1879,4
1880,8
1881,8
1882,5
1883,1
1884,9
1885,8
1886,4
1887,0
1888,0
1889,5
1890,8
1891,9
1892,6
1893,4
1894,7
1895,1
1896,2
1897,9
1898,7
1899,2
1900,9
1901,1
1902,0
1903,9
1904,8
1905,6
1906,9
1907,7
1908,8
1909,9
1910,3
1911,0
1912,9
1913,4
1914,0
1915,6
1916,4
1917,1
1918,9
1919,7
1920,0
1921,3
1922,5
1923,8
1924,9
1925,9
1926,9
1927,6
1928,5
1929,3
1930,4
1931,9
1932,6
1933,0
1934,9
1935,5
1936,5
1937,7
1938,9
1939,1
1940,8
1941,6
1942,8
1943,1
1944,7
1945,0
1946,7
1947,9
1948,0
1949,3
1950,8
1951,3
1952,6
1953,4
1954,1
1955,4
1956,4
1957,0
1958,3
1959,6
1960,3
1961,2
1962,4
1963,5
1964,6
1965,4
1966,5
1967,4
1968,1
1969,0
1970,9
1971,2
1972,6
1973,0
1974,0
1975,1
1976,6
1977,2
1978,3
1979,3
1980,5
1981,4
1982,1
1983,5
1984,8
1985,6
1986,4
1987,7
1988,4
1989,8
1990,9
1991,9
1992,9
1993,0
1994,7
1995,1
1996,6
1997,2
1998,8
1999,3
2000,7
2001,4
2002,6
2003,5
2004,0
2005,6
2006,9
2007,7
2008,0
2009,8
2010,8
2011,0
2012,3
2013,1
2014,8
2015,2
2016,5
2017,3
2018,7
2019,4
2020,0
2021,5
2022,3
2023,6
2024,3
2025,7
2026,8
2027,8
2028,4
2029,9
2030,1
2031,7
2032,8
2033,4
2034,4
2035,3
2036,4
2037,8
2038,1
2039,5
2040,1
2041,1
2042,1
2043,8
2044,3
2045,8
2046,5
2047,6
2048,7
2049,1
2050,9
2051,9
2052,4
2053,2
2054,8
2055,4
2056,1
2057,0
2058,4
2059,9
2060,1
2061,9
2062,7
2063,3
2064,4
2065,7
2066,8
2067,7
2068,6
2069,9
2070,4
2071,1
2072,1
2073,8
2074,9
2075,4
2076,9
2077,4
2078,1
2079,2
2080,3
2081,7
2082,5
2083,5
2084,8
2085,8
2086,3
2087,5
2088,6
2089,3
2090,6
2091,2
2092,5
2093,2
2094,3
2095,0
2096,9
2097,5
2098,4
2099,8
2100,3
2101,6
2102,4
2103,0
2104,6
2105,4
2106,1
2107,0
2108,3
2109,3
2110,5
2111,8
2112,8
2113,1
2114,6
2115,0
2116,7
2117,3
2118,8
2119,0
2120,9
2121,4
2122,4
2123,7
2124,3
2125,4
2126,7
2127,9
2128,1
2129,2
2130,8
2131,9
2132,1
2133,1
2134,0
2135,2
2136,1
2137,5
2138,7
2139,7
2140,0
2141,1
2142,0
2143,7
2144,0
2145,1
2146,5
2147,6
2148,3
2149,7
2150,0
2151,3
2152,3
2153,3
2154,1
2155,6
2156,2
2157,5
2158,1
2159,6
2160,9
2161,2
2162,9
2163,8
2164,8
2165,7
2166,1
2167,6
2168,0
2169,4
2170,6
2171,9
2172,9
2173,8
2174,8
2175,9
2176,7
2177,6
2178,1
2179,9
2180,0
2181,5
2182,8
2183,3
2184,0
2185,7
2186,3
2187,4
2188,7
2189,3
2190,8
2191,6
2192,4
2193,0
2194,4
2195,0
2196,2
2197,4
2198,8
2199,6
2200,9
2201,6
2202,9
2203,9
2204,2
2205,0
2206,7
2207,1
2208,7
2209,1
2210,5
2211,3
2212,1
2213,2
2214,3
2215,1
2216,6
2217,0
2218,3
2219,0
2220,6
2221,1
2222,3
2223,2
2224,4
2225,3
2226,1
2227,4
2228,3
2229,5
2230,1
2231,6
2232,5
2233,7
2234,2
2235,8
2236,1
2237,9
2238,2
2239,0
2240,9
2241,1
2242,8
2243,2
2244,3
2245,3
2246,3
2247,4
2248,9
2249,5
2250,8
2251,6
2252,7
2253,7
2254,2
2255,8
2256,4
2257,9
2258,6
2259,0
2260,3
2261,1
2262,6
2263,2
2264,0
2265,3
2266,0
2267,4
2268,8
2269,5
2270,6
2271,6
2272,9
2273,7
2274,3
2275,8
2276,0
2277,9
2278,7
2279,4
2280,9
2281,2
2282,8
2283,6
2284,5
2285,4
2286,2
2287,7
2288,8
2289,5
2290,6
2291,4
2292,7
2293,7
2294,9
2295,8
2296,7
2297,9
2298,8
2299,2
2300,3
2301,9
2302,2
2303,3
2304,7
2305,9
2306,4
2307,3
2308,8
2309,8
2310,1
2311,2
2312,3
2313,0
2314,1
2315,9
2316,4
2317,8
2318,1
2319,6
2320,9
2321,0
2322,4
2323,1
2324,0
2325,0
2326,3
2327,4
2328,4
2329,3
2330,3
2331,5
2332,4
2333,3
2334,3
2335,8
2336,1
2337,0
2338,3
2339,0
2340,6
2341,5
2342,9
2343,4
2344,3
2345,3
2346,3
2347,5
2348,7
2349,3
2350,3
2351,0
2352,2
2353,8
2354,6
2355,3
2356,1
2357,0
2358,5
2359,6
2360,0
2361,2
2362,1
2363,7
2364,7
2365,1
2366,2
2367,1
2368,9
2369,8
2370,2
2371,1
2372,2
2373,7
2374,0
2375,1
2376,5
2377,3
2378,8
2379,8
2380,9
2381,5
2382,1
2383,1
2384,4
2385,2
2386,5
2387,0
2388,1
2389,9
2390,7
2391,7
2392,3
2393,6
2394,1
2395,7
2396,4
2397,4
2398,4
2399,1
2400,8
2401,6
2402,6
2403,7
2404,2
2405,5
2406,9
2407,1
2408,7
2409,2
2410,6
2411,6
2412,1
2413,7
2414,0
2415,1
2416,3
2417,9
2418,4
2419,8
2420,7
2421,0
2422,2
2423,6
2424,2
2425,9
2426,2
2427,4
2428,7
2429,9
2430,3
2431,9
2432,9
2433,6
2434,1
2435,2
2436,1
2437,3
2438,4
2439,7
2440,9
2441,1
2442,9
2443,9
2444,8
2445,2
2446,3
2447,2
2448,6
2449,5
2450,6
2451,3
2452,6
2453,7
2454,7
2455,8
2456,0
2457,0
2458,4
2459,1
2460,4
2461,2
2462,6
2463,3
2464,7
2465,4
2466,8
2467,5
2468,6
2469,6
2470,5
2471,7
2472,4
2473,8
2474,2
2475,9
2476,5
2477,0
2478,7
2479,1
2480,6
2481,2
2482,8
2483,3
2484,5
2485,4
2486,1
2487,5
2488,5
2489,6
2490,3
2491,7
2492,7
2493,8
2494,8
2495,9
2496,9
2497,0
2498,3
2499,1
2500,0
2501,2
2502,5
2503,3
2504,0
2505,4
2506,3
2507,5
2508,1
2509,6
2510,1
2511,7
2512,1
2513,8
2514,2
2515,9
2516,0
2517,2
2518,6
2519,5
2520,6
2521,1
2522,8
2523,6
2524,7
2525,4
2526,7
2527,3
2528,6
2529,9
2530,4
2531,9
2532,1
2533,0
2534,8
2535,9
2536,3
2537,7
2538,4
2539,1
2540,5
2541,6
2542,0
2543,4
2544,3
2545,3
2546,3
2547,6
2548,5
2549,2
2550,0
2551,2
2552,6
2553,0
2554,0
2555,0
2556,1
2557,8
2558,7
2559,2
2560,2
2561,5
2562,9
2563,9
2564,4
2565,8
2566,5
2567,6
2568,0
2569,5
2570,9
2571,7
2572,5
2573,0
2574,5
2575,0
2576,7
2577,4
2578,1
2579,7
2580,8
2581,4
2582,2
2583,3
2584,0
2585,2
2586,8
2587,2
2588,5
2589,4
2590,1
2591,1
2592,3
2593,3
2594,8
2595,4
2596,6
2597,7
2598,2
2599,7
2600,9
2601,7
2602,3
2603,2
2604,5
2605,0
2606,6
2607,9
2608,2
2609,8
2610,4
2611,5
2612,4
2613,6
2614,9
2615,4
2616,8
2617,3
2618,4
2619,8
2620,2
2621,2
2622,8
2623,8
2624,7
2625,3
2626,5
2627,8
2628,7
2629,9
2630,8
2631,5
2632,1
2633,8
2634,1
2635,0
2636,6
2637,5
2638,5
2639,4
2640,6
2641,7
2642,1
2643,1
2644,4
2645,3
2646,9
2647,1
2648,8
2649,7
2650,5
2651,9
2652,0
2653,0
2654,4
2655,9
2656,3
2657,1
2658,8
2659,7
2660,8
2661,3
2662,0
2663,8
2664,1
2665,0
2666,0
2667,3
2668,7
2669,9
2670,0
2671,1
2672,2
2673,6
2674,9
2675,4
2676,7
2677,3
2678,7
2679,2
2680,1
2681,1
2682,2
2683,8
2684,5
2685,6
2686,0
2687,4
2688,5
2689,5
2690,0
2691,0
2692,5
2693,1
2694,5
2695,5
2696,9
2697,5
2698,3
2699,6
2700,3
2701,5
2702,3
2703,0
2704,1
2705,1
2706,1
2707,2
2708,9
2709,3
2710,8
2711,4
2712,8
2713,5
2714,5
2715,6
2716,0
2717,7
2718,2
2719,8
2720,3
2721,9
2722,1
2723,0
2724,7
2725,1
2726,4
2727,2
2728,6
2729,3
2730,7
2731,4
2732,0
2733,5
2734,1
2735,6
2736,5
2737,7
2738,9
2739,9
2740,2
2741,0
2742,7
2743,1
2744,6
2745,2
2746,1
2747,3
2748,0
2749,4
2750,3
2751,7
2752,2
2753,9
2754,7
2755,4
2756,5
2757,7
2758,6
2759,6
2760,4
2761,3
2762,6
2763,4
2764,0
2765,0
2766,2
2767,9
2768,9
2769,7
2770,5
2771,1
2772,7
2773,9
2774,7
2775,3
2776,0
2777,8
2778,8
2779,4
2780,3
2781,7
2782,8
2783,3
2784,2
2785,0
2786,4
2787,9
2788,4
2789,9
2790,4
2791,1
2792,9
2793,1
2794,7
2795,4
2796,0
2797,2
2798,1
2799,0
2800,5
2801,6
2802,2
2803,2
2804,5
2805,1
2806,7
2807,1
2808,2
2809,1
2810,6
2811,1
2812,3
2813,7
2814,3
2815,2
2816,5
2817,4
2818,5
2819,7
2820,4
2821,5
2822,2
2823,2
2824,1
2825,9
2826,3
2827,4
2828,3
2829,5
2830,4
2831,8
2832,9
2833,9
2834,6
2835,7
2836,3
2837,0
2838,3
2839,0
2840,9
2841,7
2842,1
2843,5
2844,2
2845,1
2846,9
2847,1
2848,8
2849,7
2850,7
2851,6
2852,9
2853,6
2854,2
2855,6
2856,5
2857,8
2858,2
2859,2
2860,2
2861,2
2862,5
2863,7
2864,2
2865,7
2866,6
2867,4
2868,9
2869,0
2870,4
2871,2
2872,0
2873,4
2874,3
2875,2
2876,6
2877,3
2878,1
2879,3
2880,0
2881,3
2882,3
2883,1
2884,9
2885,1
2886,8
2887,6
2888,0
2889,9
2890,8
2891,5
2892,8
2893,5
2894,9
2895,3
2896,7
2897,0
2898,5
2899,8
2900,9
2901,3
2902,6
2903,9
2904,8
2905,6
2906,2
2907,0
2908,7
2909,1
2910,9
2911,2
2912,4
2913,3
2914,9
2915,4
2916,2
2917,5
2918,1
2919,6
2920,3
2921,7
2922,4
2923,8
2924,3
2925,9
2926,0
2927,0
2928,8
2929,1
2930,1
2931,2
2932,1
2933,3
2934,8
2935,4
2936,8
2937,5
2938,2
2939,6
2940,5
2941,7
2942,3
2943,8
2944,8
2945,9
2946,9
2947,0
2948,4
2949,1
2950,2
2951,2
2952,1
2953,3
2954,2
2955,4
2956,7
2957,5
2958,8
2959,6
2960,8
2961,7
2962,5
2963,8
2964,6
2965,9
2966,4
2967,3
2968,3
2969,4
2970,7
2971,1
2972,4
2973,4
2974,8
2975,6
2976,4
2977,6
2978,5
2979,7
2980,6
2981,3
2982,7
2983,3
2984,8
2985,2
2986,5
2987,1
2988,8
2989,9
2990,3
2991,4
2992,0
2993,7
2994,7
2995,3
2996,5
2997,4
